"month","sum(transaction_count)"
"2013-10-01",1645247
"2013-11-01",1961108
"2013-12-01",1935103
"2014-01-01",1817513
"2014-02-01",1846258
"2014-03-01",2102466
"2014-04-01",1890902
"2014-05-01",1993589
"2014-06-01",1817173
"2014-07-01",1932272
"2014-08-01",2112222
"2014-09-01",2144596
"2014-10-01",2390212
"2014-11-01",2512559
"2014-12-01",2703958
"2015-01-01",2890991
"2015-02-01",2661477
"2015-03-01",3050358
"2015-04-01",3195618
"2015-05-01",3208048
"2015-06-01",3510876
"2015-07-01",4313056
"2015-08-01",3569102
"2015-09-01",4148310
"2015-10-01",4268853
"2015-11-01",4759910
"2015-12-01",6097424
"2016-01-01",5941625
"2016-02-01",6328098
"2016-03-01",6092921
"2016-04-01",6431712
"2016-05-01",6785775
"2016-06-01",6875990
"2016-07-01",6502334
"2016-08-01",6985382
"2016-09-01",6658263
"2016-10-01",7372569
"2016-11-01",8089573
"2016-12-01",8562381
"2017-01-01",8617360
"2017-02-01",8277352
"2017-03-01",8866167
"2017-04-01",8351640
"2017-05-01",10061195
"2017-06-01",8071385
"2017-07-01",7183759
"2017-08-01",7765430
"2017-09-01",7345502
"2017-10-01",8987745
"2017-11-01",9345256
"2017-12-01",11190438
"2018-01-01",8873120
"2018-02-01",5356201
"2018-03-01",5695168
"2018-04-01",5753341
"2018-05-01",6138957
"2018-06-01",5752514
"2018-07-01",6393536
"2018-08-01",6730044
"2018-09-01",6871444
"2018-10-01",7580518
"2018-11-01",8054376
"2018-12-01",8196417
"2019-01-01",9222178
"2019-02-01",9269096
"2019-03-01",9457625
"2019-04-01",11003022
"2019-05-01",11505497
"2019-06-01",10486006
"2019-07-01",10305251
"2019-08-01",10169294
"2019-09-01",9798992
"2019-10-01",9892853
"2019-11-01",9243776
"2019-12-01",9430057
"2020-01-01",9612337
"2020-02-01",9439548
"2020-03-01",8904203
"2020-04-01",8702021
"2020-05-01",9092682
"2020-06-01",9192440
"2020-07-01",10158131
"2020-08-01",9793583
"2020-09-01",9495331
"2020-10-01",9284673
"2020-11-01",9145550
"2020-12-01",9732999
"2021-01-01",10075353
"2021-02-01",8969658
"2021-03-01",9342128
"2021-04-01",8349964
"2021-05-01",7791611
"2021-06-01",6513015